question,category,label
특수절도는 흉기 없이 혼자서 해야 성립합니다.,벌금,0
특수절도는 흉기 없이 혼자서 해야 성립합니다.,자격모용에 의한 공문서 등의 작성,0
공범은 형사처벌 대상이 아닙니다.,공범,1
공범은 형사처벌 대상이 아닙니다.,중손괴,0
공범은 형사처벌 대상이 아닙니다.,유기등 치사상,0
횡령죄는 개인 소유 재산에서는 성립하지 않습니다.,횡령죄,1
횡령죄는 개인 소유 재산에서는 성립하지 않습니다.,특수도주,0
횡령죄는 개인 소유 재산에서는 성립하지 않습니다.,고의,0
모욕죄는 명예훼손이 없으면 성립하지 않습니다.,모욕죄,1
모욕죄는 명예훼손이 없으면 성립하지 않습니다.,자격정지의 병과,0
모욕죄는 명예훼손이 없으면 성립하지 않습니다.,소인말소,0
방화죄는 어떤 경우에 성립합니까?,방화죄,1
방화죄는 어떤 경우에 성립합니까?,"촉탁, 승낙에 의한 살인 등",0
방화죄는 어떤 경우에 성립합니까?,몰수의 부가성,0
미수범은 원칙적으로 처벌되지 않는다.,미수범,1
미수범은 원칙적으로 처벌되지 않는다.,업무상위력 등에 의한 간음,0
미수범은 원칙적으로 처벌되지 않는다.,"상해, 존속상해",0
사자의 명예를 훼손하면 명예훼손죄가 성립합니까?,명예훼손죄,1
사자의 명예를 훼손하면 명예훼손죄가 성립합니까?,교통방해치사상,0
사자의 명예를 훼손하면 명예훼손죄가 성립합니까?,공무집행방해,0
협박죄는 반드시 재산적 손해를 끼쳐야 성립합니까?,협박죄,1
협박죄는 반드시 재산적 손해를 끼쳐야 성립합니까?,외국에 대한 사전,0
협박죄는 반드시 재산적 손해를 끼쳐야 성립합니까?,자격정지의 병과,0
형법상 주거침입죄는 어떤 경우에 성립합니까?,주거침입죄,1
형법상 주거침입죄는 어떤 경우에 성립합니까?,집행유예의 실효,0
형법상 주거침입죄는 어떤 경우에 성립합니까?,특수손괴,0
약취유인죄는 미성년자에게만 적용됩니까?,약취유인죄,1
약취유인죄는 미성년자에게만 적용됩니까?,"폭행, 가혹행위",0
약취유인죄는 미성년자에게만 적용됩니까?,사자의 명예훼손,0
직무유기죄란 무엇입니까?,유기죄,1
직무유기죄란 무엇입니까?,허위공문서작성등,0
직무유기죄란 무엇입니까?,"자수, 자복",0
친족상도례가 적용되면 처벌을 면제할 수 있습니까?,친족상도례,1
친족상도례가 적용되면 처벌을 면제할 수 있습니까?,긴급피난,0
친족상도례가 적용되면 처벌을 면제할 수 있습니까?,재물손괴등,0
절도범이 체포를 면하기 위해 폭행하면 강도죄가 성립합니까?,절도죄,1
절도범이 체포를 면하기 위해 폭행하면 강도죄가 성립합니까?,"수뢰후부정처사, 사후수뢰",0
절도범이 체포를 면하기 위해 폭행하면 강도죄가 성립합니까?,"미성년자의 약취, 유인",0
기수범이 성립하려면 결과가 발생해야 합니까?,기수범,1
기수범이 성립하려면 결과가 발생해야 합니까?,피해자의 승낙,0
기수범이 성립하려면 결과가 발생해야 합니까?,"예비, 음모, 선동",0
미필적 고의란 무엇입니까?,미필적 고의,1
미필적 고의란 무엇입니까?,형의 종류,0
미필적 고의란 무엇입니까?,"사인등의 위조, 부정사용",0
강요죄는 폭행이나 협박이 수단입니까?,폭행죄,1
강요죄는 폭행이나 협박이 수단입니까?,업무방해,0
강요죄는 폭행이나 협박이 수단입니까?,노역장 유치,0
범죄의 성립과 처벌가 적용되는 조건은 무엇인가요?,범죄의 성립과 처벌,1
범죄의 성립과 처벌가 적용되는 조건은 무엇인가요?,선거방해,0
범죄의 성립과 처벌가 적용되는 조건은 무엇인가요?,자격정지,0
범죄의 성립과 처벌는 어떤 행위를 하면 성립하나요?,범죄의 성립과 처벌,1
범죄의 성립과 처벌는 어떤 행위를 하면 성립하나요?,세관 공무원의 아편 등의 수입,0
범죄의 성립과 처벌는 어떤 행위를 하면 성립하나요?,판결의 공시,0
범죄의 성립과 처벌가 성립하지 않는 경우도 있나요?,범죄의 성립과 처벌,1
범죄의 성립과 처벌가 성립하지 않는 경우도 있나요?,형의 실효,0
범죄의 성립과 처벌가 성립하지 않는 경우도 있나요?,"공용서류 등의 무효, 공용물의 파괴",0
국내범에 대한 처벌 수위는 어떻게 되나요?,국내범,1
국내범에 대한 처벌 수위는 어떻게 되나요?,강도강간,0
국내범에 대한 처벌 수위는 어떻게 되나요?,허위유가증권의 작성 등,0
피해자가 원하지 않아도 국내범로 처벌되나요?,국내범,1
피해자가 원하지 않아도 국내범로 처벌되나요?,"공인 등의 위조, 부정사용",0
피해자가 원하지 않아도 국내범로 처벌되나요?,시설파괴이적,0
국내범는 실수로 해도 처벌되나요?,국내범,1
국내범는 실수로 해도 처벌되나요?,집행유예의 취소,0
국내범는 실수로 해도 처벌되나요?,독립행위의 경합,0
내국인의 국외범에 해당하는 구체적인 예시가 있을까요?,내국인의 국외범,1
내국인의 국외범에 해당하는 구체적인 예시가 있을까요?,"형의 선고와 자격상실, 자격정지",0
내국인의 국외범에 해당하는 구체적인 예시가 있을까요?,징역,0
내국인의 국외범가 성립하지 않는 경우도 있나요?,내국인의 국외범,1
내국인의 국외범가 성립하지 않는 경우도 있나요?,체포ㆍ감금등의 치사상,0
내국인의 국외범가 성립하지 않는 경우도 있나요?,고의,0
내국인의 국외범에 대해 설명해 주세요.,내국인의 국외범,1
내국인의 국외범에 대해 설명해 주세요.,가중ㆍ감경의 순서,0
내국인의 국외범에 대해 설명해 주세요.,비밀침해,0
국외에 있는 내국선박 등에서 외국인이 범한 죄는 실수로 해도 처벌되나요?,국외에 있는 내국선박 등에서 외국인이 범한 죄,1
국외에 있는 내국선박 등에서 외국인이 범한 죄는 실수로 해도 처벌되나요?,"약취, 유인, 매매, 이송 등 상해ㆍ치상",0
국외에 있는 내국선박 등에서 외국인이 범한 죄는 실수로 해도 처벌되나요?,"사인등의 위조, 부정사용",0
피해자가 원하지 않아도 국외에 있는 내국선박 등에서 외국인이 범한 죄로 처벌되나요?,국외에 있는 내국선박 등에서 외국인이 범한 죄,1
피해자가 원하지 않아도 국외에 있는 내국선박 등에서 외국인이 범한 죄로 처벌되나요?,"촉탁, 승낙에 의한 살인 등",0
피해자가 원하지 않아도 국외에 있는 내국선박 등에서 외국인이 범한 죄로 처벌되나요?,방수방해,0
국외에 있는 내국선박 등에서 외국인이 범한 죄에 해당하는 구체적인 예시가 있을까요?,국외에 있는 내국선박 등에서 외국인이 범한 죄,1
국외에 있는 내국선박 등에서 외국인이 범한 죄에 해당하는 구체적인 예시가 있을까요?,인신매매,0
국외에 있는 내국선박 등에서 외국인이 범한 죄에 해당하는 구체적인 예시가 있을까요?,미수범,0
외국인의 국외범에 대한 처벌 수위는 어떻게 되나요?,외국인의 국외범,1
외국인의 국외범에 대한 처벌 수위는 어떻게 되나요?,소요,0
외국인의 국외범에 대한 처벌 수위는 어떻게 되나요?,집행유예의 요건,0
외국인의 국외범는 어떤 행위를 하면 성립하나요?,외국인의 국외범,1
외국인의 국외범는 어떤 행위를 하면 성립하나요?,선고유예의 실효,0
외국인의 국외범는 어떤 행위를 하면 성립하나요?,점유이탈물횡령,0
외국인의 국외범가 적용되는 조건은 무엇인가요?,외국인의 국외범,1
외국인의 국외범가 적용되는 조건은 무엇인가요?,판결선고후의 누범발각,0
외국인의 국외범가 적용되는 조건은 무엇인가요?,알선수뢰,0
대한민국과 대한민국국민에 대한 국외범에 대해 설명해 주세요.,대한민국과 대한민국국민에 대한 국외범,1
대한민국과 대한민국국민에 대한 국외범에 대해 설명해 주세요.,특수손괴,0
대한민국과 대한민국국민에 대한 국외범에 대해 설명해 주세요.,권리행사방해,0
대한민국과 대한민국국민에 대한 국외범는 어떤 행위를 하면 성립하나요?,대한민국과 대한민국국민에 대한 국외범,1
대한민국과 대한민국국민에 대한 국외범는 어떤 행위를 하면 성립하나요?,중손괴,0
대한민국과 대한민국국민에 대한 국외범는 어떤 행위를 하면 성립하나요?,복권,0
대한민국과 대한민국국민에 대한 국외범가 성립하지 않는 경우도 있나요?,대한민국과 대한민국국민에 대한 국외범,1
대한민국과 대한민국국민에 대한 국외범가 성립하지 않는 경우도 있나요?,"기차, 선박 등의 교통방해",0
대한민국과 대한민국국민에 대한 국외범가 성립하지 않는 경우도 있나요?,특수폭행,0
외국에서 집행된 형의 산입에 대한 처벌 수위는 어떻게 되나요?,외국에서 집행된 형의 산입,1
외국에서 집행된 형의 산입에 대한 처벌 수위는 어떻게 되나요?,아편흡식기의 제조 등,0
외국에서 집행된 형의 산입에 대한 처벌 수위는 어떻게 되나요?,위조유가증권 등의 행사 등,0
외국에서 집행된 형의 산입는 실수로 해도 처벌되나요?,외국에서 집행된 형의 산입,1
외국에서 집행된 형의 산입는 실수로 해도 처벌되나요?,정당방위,0
외국에서 집행된 형의 산입는 실수로 해도 처벌되나요?,특수절도,0
외국에서 집행된 형의 산입가 적용되는 조건은 무엇인가요?,외국에서 집행된 형의 산입,1
외국에서 집행된 형의 산입가 적용되는 조건은 무엇인가요?,낙태,0
외국에서 집행된 형의 산입가 적용되는 조건은 무엇인가요?,공정증서원본 등의 부실기재,0
총칙의 적용가 성립하지 않는 경우도 있나요?,총칙의 적용,1
총칙의 적용가 성립하지 않는 경우도 있나요?,"형의 선고와 자격상실, 자격정지",0
총칙의 적용가 성립하지 않는 경우도 있나요?,음화제조 등,0
피해자가 원하지 않아도 총칙의 적용로 처벌되나요?,총칙의 적용,1
피해자가 원하지 않아도 총칙의 적용로 처벌되나요?,준적국,0
피해자가 원하지 않아도 총칙의 적용로 처벌되나요?,형의 종류,0
총칙의 적용에 대한 처벌 수위는 어떻게 되나요?,총칙의 적용,1
총칙의 적용에 대한 처벌 수위는 어떻게 되나요?,"예비, 음모, 선동",0
총칙의 적용에 대한 처벌 수위는 어떻게 되나요?,긴급피난,0
형사미성년자에 대한 처벌 수위는 어떻게 되나요?,형사미성년자,1
형사미성년자에 대한 처벌 수위는 어떻게 되나요?,"형의 선고와 자격상실, 자격정지",0
형사미성년자에 대한 처벌 수위는 어떻게 되나요?,"공용서류 등의 무효, 공용물의 파괴",0
형사미성년자는 실수로 해도 처벌되나요?,형사미성년자,1
형사미성년자는 실수로 해도 처벌되나요?,시체 등의 유기 등,0
형사미성년자는 실수로 해도 처벌되나요?,배임수증재,0
피해자가 원하지 않아도 형사미성년자로 처벌되나요?,형사미성년자,1
피해자가 원하지 않아도 형사미성년자로 처벌되나요?,직권남용,0
피해자가 원하지 않아도 형사미성년자로 처벌되나요?,재물손괴등,0
심신장애인에 대한 처벌 수위는 어떻게 되나요?,심신장애인,1
심신장애인에 대한 처벌 수위는 어떻게 되나요?,알선수뢰,0
심신장애인에 대한 처벌 수위는 어떻게 되나요?,위조사문서등의 행사,0
심신장애인가 적용되는 조건은 무엇인가요?,심신장애인,1
심신장애인가 적용되는 조건은 무엇인가요?,"살인, 존속살해",0
심신장애인가 적용되는 조건은 무엇인가요?,특수절도,0
심신장애인가 성립하지 않는 경우도 있나요?,심신장애인,1
심신장애인가 성립하지 않는 경우도 있나요?,위법성의 조각,0
심신장애인가 성립하지 않는 경우도 있나요?,형기의 기산,0
청각 및 언어 장애인에 대한 처벌 수위는 어떻게 되나요?,청각 및 언어 장애인,1
청각 및 언어 장애인에 대한 처벌 수위는 어떻게 되나요?,"간접정범, 특수한 교사, 방조에 대한 형의 가중",0
청각 및 언어 장애인에 대한 처벌 수위는 어떻게 되나요?,경계침범,0
피해자가 원하지 않아도 청각 및 언어 장애인로 처벌되나요?,청각 및 언어 장애인,1
피해자가 원하지 않아도 청각 및 언어 장애인로 처벌되나요?,노역장 유치,0
피해자가 원하지 않아도 청각 및 언어 장애인로 처벌되나요?,모욕,0
청각 및 언어 장애인에 해당하는 구체적인 예시가 있을까요?,청각 및 언어 장애인,1
청각 및 언어 장애인에 해당하는 구체적인 예시가 있을까요?,일반물건 방화,0
청각 및 언어 장애인에 해당하는 구체적인 예시가 있을까요?,과실일수,0
강요된 행위에 해당하는 구체적인 예시가 있을까요?,강요된 행위,1
강요된 행위에 해당하는 구체적인 예시가 있을까요?,폭행치사상,0
강요된 행위에 해당하는 구체적인 예시가 있을까요?,도박장소 등 개설,0
강요된 행위는 실수로 해도 처벌되나요?,강요된 행위,1
강요된 행위는 실수로 해도 처벌되나요?,업무상과실ㆍ중과실 치사상,0
강요된 행위는 실수로 해도 처벌되나요?,공문서 등의 부정행사,0
강요된 행위에 대해 설명해 주세요.,강요된 행위,1
강요된 행위에 대해 설명해 주세요.,특수폭행,0
강요된 행위에 대해 설명해 주세요.,시체 등의 유기 등,0
피해자가 원하지 않아도 고의로 처벌되나요?,고의,1
피해자가 원하지 않아도 고의로 처벌되나요?,현주건조물 등 방화,0
피해자가 원하지 않아도 고의로 처벌되나요?,과실,0
고의에 대한 처벌 수위는 어떻게 되나요?,고의,1
고의에 대한 처벌 수위는 어떻게 되나요?,과실,0
고의에 대한 처벌 수위는 어떻게 되나요?,실화,0
고의가 적용되는 조건은 무엇인가요?,고의,1
고의가 적용되는 조건은 무엇인가요?,형의 시효의 효과,0
고의가 적용되는 조건은 무엇인가요?,과실치사,0
피해자가 원하지 않아도 과실로 처벌되나요?,과실,1
피해자가 원하지 않아도 과실로 처벌되나요?,일반건조물 등에의 일수,0
피해자가 원하지 않아도 과실로 처벌되나요?,공용건조물 등에의 일수,0
과실에 해당하는 구체적인 예시가 있을까요?,과실,1
과실에 해당하는 구체적인 예시가 있을까요?,"기차, 선박 등의 교통방해",0
과실에 해당하는 구체적인 예시가 있을까요?,수돗물의 사용방해,0
과실는 어떤 행위를 하면 성립하나요?,과실,1
과실는 어떤 행위를 하면 성립하나요?,인과관계,0
과실는 어떤 행위를 하면 성립하나요?,"약취, 유인, 매매, 이송 등 살인ㆍ치사",0
사실의 착오가 적용되는 조건은 무엇인가요?,사실의 착오,1
사실의 착오가 적용되는 조건은 무엇인가요?,강도살인ㆍ치사,0
사실의 착오가 적용되는 조건은 무엇인가요?,"경매, 입찰의 방해",0
피해자가 원하지 않아도 사실의 착오로 처벌되나요?,사실의 착오,1
피해자가 원하지 않아도 사실의 착오로 처벌되나요?,부작위범,0
피해자가 원하지 않아도 사실의 착오로 처벌되나요?,모욕,0
사실의 착오는 실수로 해도 처벌되나요?,사실의 착오,1
사실의 착오는 실수로 해도 처벌되나요?,벌금의 병과,0
사실의 착오는 실수로 해도 처벌되나요?,공연음란,0
법률의 착오는 실수로 해도 처벌되나요?,법률의 착오,1
법률의 착오는 실수로 해도 처벌되나요?,"아편흡식 등, 동장소제공",0
법률의 착오는 실수로 해도 처벌되나요?,대한민국과 대한민국국민에 대한 국외범,0
법률의 착오에 대해 설명해 주세요.,법률의 착오,1
법률의 착오에 대해 설명해 주세요.,사자의 명예훼손,0
법률의 착오에 대해 설명해 주세요.,"업무상실화, 중실화",0
법률의 착오는 어떤 행위를 하면 성립하나요?,법률의 착오,1
법률의 착오는 어떤 행위를 하면 성립하나요?,긴급피난,0
법률의 착오는 어떤 행위를 하면 성립하나요?,피해자의 의사,0
인과관계는 어떤 행위를 하면 성립하나요?,인과관계,1
인과관계는 어떤 행위를 하면 성립하나요?,아동혹사,0
인과관계는 어떤 행위를 하면 성립하나요?,강간 등 상해ㆍ치상,0
인과관계가 적용되는 조건은 무엇인가요?,인과관계,1
인과관계가 적용되는 조건은 무엇인가요?,배임수증재,0
인과관계가 적용되는 조건은 무엇인가요?,공정증서원본 등의 부실기재,0
인과관계에 대해 설명해 주세요.,인과관계,1
인과관계에 대해 설명해 주세요.,자격정지 또는 벌금의 병과,0
인과관계에 대해 설명해 주세요.,외국인의 국외범,0
부작위범는 어떤 행위를 하면 성립하나요?,부작위범,1
부작위범는 어떤 행위를 하면 성립하나요?,업무상비밀누설,0
부작위범는 어떤 행위를 하면 성립하나요?,위조통화의 취득,0
부작위범에 해당하는 구체적인 예시가 있을까요?,부작위범,1
부작위범에 해당하는 구체적인 예시가 있을까요?,국외에 있는 내국선박 등에서 외국인이 범한 죄,0
부작위범에 해당하는 구체적인 예시가 있을까요?,징역,0
부작위범에 대해 설명해 주세요.,부작위범,1
부작위범에 대해 설명해 주세요.,형의 집행과 시효기간의 초일,0
부작위범에 대해 설명해 주세요.,외국에서 집행된 형의 산입,0
독립행위의 경합가 적용되는 조건은 무엇인가요?,독립행위의 경합,1
독립행위의 경합가 적용되는 조건은 무엇인가요?,"음모, 예비",0
독립행위의 경합가 적용되는 조건은 무엇인가요?,선고유예의 효과,0
독립행위의 경합에 대한 처벌 수위는 어떻게 되나요?,독립행위의 경합,1
독립행위의 경합에 대한 처벌 수위는 어떻게 되나요?,판결선고후의 누범발각,0
독립행위의 경합에 대한 처벌 수위는 어떻게 되나요?,다중불해산,0
독립행위의 경합는 실수로 해도 처벌되나요?,독립행위의 경합,1
독립행위의 경합는 실수로 해도 처벌되나요?,"수뢰, 사전수뢰",0
독립행위의 경합는 실수로 해도 처벌되나요?,분묘의 발굴,0
정당행위에 대해 설명해 주세요.,정당행위,1
정당행위에 대해 설명해 주세요.,전시군수계약불이행,0
정당행위에 대해 설명해 주세요.,집행유예의 효과,0
정당행위는 실수로 해도 처벌되나요?,정당행위,1
정당행위는 실수로 해도 처벌되나요?,징역 또는 금고의 기간,0
정당행위는 실수로 해도 처벌되나요?,야간주거침입절도,0
정당행위에 해당하는 구체적인 예시가 있을까요?,정당행위,1
정당행위에 해당하는 구체적인 예시가 있을까요?,모욕,0
정당행위에 해당하는 구체적인 예시가 있을까요?,판결선고 전 구금과 가석방,0
정당방위가 성립하지 않는 경우도 있나요?,정당방위,1
정당방위가 성립하지 않는 경우도 있나요?,제삼자뇌물제공,0
정당방위가 성립하지 않는 경우도 있나요?,인지ㆍ우표의 위조등,0
정당방위가 적용되는 조건은 무엇인가요?,정당방위,1
정당방위가 적용되는 조건은 무엇인가요?,내국인의 국외범,0
정당방위가 적용되는 조건은 무엇인가요?,배임수증재,0
정당방위에 대한 처벌 수위는 어떻게 되나요?,정당방위,1
정당방위에 대한 처벌 수위는 어떻게 되나요?,체포ㆍ감금등의 치사상,0
정당방위에 대한 처벌 수위는 어떻게 되나요?,선고유예의 효과,0
긴급피난에 대한 처벌 수위는 어떻게 되나요?,긴급피난,1
긴급피난에 대한 처벌 수위는 어떻게 되나요?,복권,0
긴급피난에 대한 처벌 수위는 어떻게 되나요?,"공인 등의 위조, 부정사용",0
긴급피난는 어떤 행위를 하면 성립하나요?,긴급피난,1
긴급피난는 어떤 행위를 하면 성립하나요?,"간접정범, 특수한 교사, 방조에 대한 형의 가중",0
긴급피난는 어떤 행위를 하면 성립하나요?,인신매매,0
피해자가 원하지 않아도 긴급피난로 처벌되나요?,긴급피난,1
피해자가 원하지 않아도 긴급피난로 처벌되나요?,수도불통,0
피해자가 원하지 않아도 긴급피난로 처벌되나요?,간첩,0
자구행위에 해당하는 구체적인 예시가 있을까요?,자구행위,1
자구행위에 해당하는 구체적인 예시가 있을까요?,집행유예의 효과,0
자구행위에 해당하는 구체적인 예시가 있을까요?,수도불통,0
자구행위에 대한 처벌 수위는 어떻게 되나요?,자구행위,1
자구행위에 대한 처벌 수위는 어떻게 되나요?,"주거침입, 퇴거불응",0
자구행위에 대한 처벌 수위는 어떻게 되나요?,공무집행방해,0
자구행위는 어떤 행위를 하면 성립하나요?,자구행위,1
자구행위는 어떤 행위를 하면 성립하나요?,위조통화 취득 후의 지정행사,0
자구행위는 어떤 행위를 하면 성립하나요?,위계 등에 의한 촉탁살인 등,0
피해자의 승낙가 성립하지 않는 경우도 있나요?,피해자의 승낙,1
피해자의 승낙가 성립하지 않는 경우도 있나요?,진화방해,0
피해자의 승낙가 성립하지 않는 경우도 있나요?,외교상기밀의 누설,0
피해자의 승낙는 어떤 행위를 하면 성립하나요?,피해자의 승낙,1
피해자의 승낙는 어떤 행위를 하면 성립하나요?,"촉탁, 승낙에 의한 살인 등",0
피해자의 승낙는 어떤 행위를 하면 성립하나요?,가석방의 실효,0
피해자의 승낙는 실수로 해도 처벌되나요?,피해자의 승낙,1
피해자의 승낙는 실수로 해도 처벌되나요?,직무유기,0
피해자의 승낙는 실수로 해도 처벌되나요?,수도불통,0
미수범가 성립하지 않는 경우도 있나요?,미수범,1
미수범가 성립하지 않는 경우도 있나요?,업무방해,0
미수범가 성립하지 않는 경우도 있나요?,기간의 계산,0
미수범에 해당하는 구체적인 예시가 있을까요?,미수범,1
미수범에 해당하는 구체적인 예시가 있을까요?,특수도주,0
미수범에 해당하는 구체적인 예시가 있을까요?,"약취, 유인, 매매, 이송된 사람의 수수ㆍ은닉 등",0
피해자가 원하지 않아도 미수범로 처벌되나요?,미수범,1
피해자가 원하지 않아도 미수범로 처벌되나요?,"아편흡식 등, 동장소제공",0
피해자가 원하지 않아도 미수범로 처벌되나요?,중손괴,0
중지범가 성립하지 않는 경우도 있나요?,중지범,1
중지범가 성립하지 않는 경우도 있나요?,복권,0
중지범가 성립하지 않는 경우도 있나요?,소요,0
중지범가 적용되는 조건은 무엇인가요?,중지범,1
중지범가 적용되는 조건은 무엇인가요?,독립행위의 경합,0
중지범가 적용되는 조건은 무엇인가요?,형의 시효의 정지,0
중지범는 실수로 해도 처벌되나요?,중지범,1
중지범는 실수로 해도 처벌되나요?,실화,0
중지범는 실수로 해도 처벌되나요?,형의 종류,0
불능범가 적용되는 조건은 무엇인가요?,불능범,1
불능범가 적용되는 조건은 무엇인가요?,"도박, 상습도박",0
불능범가 적용되는 조건은 무엇인가요?,공무상비밀표시무효,0
불능범가 성립하지 않는 경우도 있나요?,불능범,1
불능범가 성립하지 않는 경우도 있나요?,특수절도,0
불능범가 성립하지 않는 경우도 있나요?,미수범,0
불능범에 대해 설명해 주세요.,불능범,1
불능범에 대해 설명해 주세요.,형의 시효의 정지,0
불능범에 대해 설명해 주세요.,먹는 물의 사용방해,0
"피해자가 원하지 않아도 음모, 예비로 처벌되나요?","음모, 예비",1
"피해자가 원하지 않아도 음모, 예비로 처벌되나요?",형의 실효,0
"피해자가 원하지 않아도 음모, 예비로 처벌되나요?",복권,0
"음모, 예비가 성립하지 않는 경우도 있나요?","음모, 예비",1
"음모, 예비가 성립하지 않는 경우도 있나요?",선고유예의 요건,0
"음모, 예비가 성립하지 않는 경우도 있나요?",복표의 발매 등,0
"음모, 예비는 실수로 해도 처벌되나요?","음모, 예비",1
"음모, 예비는 실수로 해도 처벌되나요?",경계침범,0
"음모, 예비는 실수로 해도 처벌되나요?",형의 경중,0
미수범의 처벌는 어떤 행위를 하면 성립하나요?,미수범의 처벌,1
미수범의 처벌는 어떤 행위를 하면 성립하나요?,"몰수, 추징",0
미수범의 처벌는 어떤 행위를 하면 성립하나요?,일반교통방해,0
미수범의 처벌에 해당하는 구체적인 예시가 있을까요?,미수범의 처벌,1
미수범의 처벌에 해당하는 구체적인 예시가 있을까요?,교통방해치사상,0
미수범의 처벌에 해당하는 구체적인 예시가 있을까요?,일반물건 방화,0
