,question,label
51,피해자가 원하지 않아도 국외에 있는 내국선박 등에서 외국인이 범한 죄로 처벌되나요?,국외에 있는 내국선박 등에서 외국인이 범한 죄
52,국외에 있는 내국선박 등에서 외국인이 범한 죄에 해당하는 구체적인 예시가 있을까요?,국외에 있는 내국선박 등에서 외국인이 범한 죄
53,외국인의 국외범에 대한 처벌 수위는 어떻게 되나요?,외국인의 국외범
54,외국인의 국외범는 어떤 행위를 하면 성립하나요?,외국인의 국외범
55,외국인의 국외범가 적용되는 조건은 무엇인가요?,외국인의 국외범
56,대한민국과 대한민국국민에 대한 국외범에 대해 설명해 주세요.,대한민국과 대한민국국민에 대한 국외범
57,대한민국과 대한민국국민에 대한 국외범는 어떤 행위를 하면 성립하나요?,대한민국과 대한민국국민에 대한 국외범
58,대한민국과 대한민국국민에 대한 국외범가 성립하지 않는 경우도 있나요?,대한민국과 대한민국국민에 대한 국외범
59,외국에서 집행된 형의 산입에 대한 처벌 수위는 어떻게 되나요?,외국에서 집행된 형의 산입
60,외국에서 집행된 형의 산입는 실수로 해도 처벌되나요?,외국에서 집행된 형의 산입
61,외국에서 집행된 형의 산입가 적용되는 조건은 무엇인가요?,외국에서 집행된 형의 산입
62,총칙의 적용가 성립하지 않는 경우도 있나요?,총칙의 적용
63,피해자가 원하지 않아도 총칙의 적용로 처벌되나요?,총칙의 적용
64,총칙의 적용에 대한 처벌 수위는 어떻게 되나요?,총칙의 적용
65,형사미성년자에 대한 처벌 수위는 어떻게 되나요?,형사미성년자
66,형사미성년자는 실수로 해도 처벌되나요?,형사미성년자
67,피해자가 원하지 않아도 형사미성년자로 처벌되나요?,형사미성년자
68,심신장애인에 대한 처벌 수위는 어떻게 되나요?,심신장애인
69,심신장애인가 적용되는 조건은 무엇인가요?,심신장애인
70,심신장애인가 성립하지 않는 경우도 있나요?,심신장애인
71,청각 및 언어 장애인에 대한 처벌 수위는 어떻게 되나요?,청각 및 언어 장애인
72,피해자가 원하지 않아도 청각 및 언어 장애인로 처벌되나요?,청각 및 언어 장애인
73,청각 및 언어 장애인에 해당하는 구체적인 예시가 있을까요?,청각 및 언어 장애인
74,강요된 행위에 해당하는 구체적인 예시가 있을까요?,강요된 행위
75,강요된 행위는 실수로 해도 처벌되나요?,강요된 행위
76,강요된 행위에 대해 설명해 주세요.,강요된 행위
77,피해자가 원하지 않아도 고의로 처벌되나요?,고의
78,고의에 대한 처벌 수위는 어떻게 되나요?,고의
79,고의가 적용되는 조건은 무엇인가요?,고의
80,피해자가 원하지 않아도 과실로 처벌되나요?,과실
81,과실에 해당하는 구체적인 예시가 있을까요?,과실
82,과실는 어떤 행위를 하면 성립하나요?,과실
83,사실의 착오가 적용되는 조건은 무엇인가요?,사실의 착오
84,피해자가 원하지 않아도 사실의 착오로 처벌되나요?,사실의 착오
85,사실의 착오는 실수로 해도 처벌되나요?,사실의 착오
86,법률의 착오는 실수로 해도 처벌되나요?,법률의 착오
87,법률의 착오에 대해 설명해 주세요.,법률의 착오
88,법률의 착오는 어떤 행위를 하면 성립하나요?,법률의 착오
89,인과관계는 어떤 행위를 하면 성립하나요?,인과관계
90,인과관계가 적용되는 조건은 무엇인가요?,인과관계
91,인과관계에 대해 설명해 주세요.,인과관계
92,부작위범는 어떤 행위를 하면 성립하나요?,부작위범
93,부작위범에 해당하는 구체적인 예시가 있을까요?,부작위범
94,부작위범에 대해 설명해 주세요.,부작위범
95,독립행위의 경합가 적용되는 조건은 무엇인가요?,독립행위의 경합
96,독립행위의 경합에 대한 처벌 수위는 어떻게 되나요?,독립행위의 경합
97,독립행위의 경합는 실수로 해도 처벌되나요?,독립행위의 경합
98,정당행위에 대해 설명해 주세요.,정당행위
99,정당행위는 실수로 해도 처벌되나요?,정당행위
100,정당행위에 해당하는 구체적인 예시가 있을까요?,정당행위
101,정당방위가 성립하지 않는 경우도 있나요?,정당방위
102,정당방위가 적용되는 조건은 무엇인가요?,정당방위
103,정당방위에 대한 처벌 수위는 어떻게 되나요?,정당방위
104,긴급피난에 대한 처벌 수위는 어떻게 되나요?,긴급피난
105,긴급피난는 어떤 행위를 하면 성립하나요?,긴급피난
106,피해자가 원하지 않아도 긴급피난로 처벌되나요?,긴급피난
107,자구행위에 해당하는 구체적인 예시가 있을까요?,자구행위
108,자구행위에 대한 처벌 수위는 어떻게 되나요?,자구행위
109,자구행위는 어떤 행위를 하면 성립하나요?,자구행위
110,피해자의 승낙가 성립하지 않는 경우도 있나요?,피해자의 승낙
111,피해자의 승낙는 어떤 행위를 하면 성립하나요?,피해자의 승낙
112,피해자의 승낙는 실수로 해도 처벌되나요?,피해자의 승낙
113,미수범가 성립하지 않는 경우도 있나요?,미수범
114,미수범에 해당하는 구체적인 예시가 있을까요?,미수범
115,피해자가 원하지 않아도 미수범로 처벌되나요?,미수범
116,중지범가 성립하지 않는 경우도 있나요?,중지범
117,중지범가 적용되는 조건은 무엇인가요?,중지범
118,중지범는 실수로 해도 처벌되나요?,중지범
119,불능범가 적용되는 조건은 무엇인가요?,불능범
120,불능범가 성립하지 않는 경우도 있나요?,불능범
121,불능범에 대해 설명해 주세요.,불능범
122,"피해자가 원하지 않아도 음모, 예비로 처벌되나요?","음모, 예비"
123,"음모, 예비가 성립하지 않는 경우도 있나요?","음모, 예비"
124,"음모, 예비는 실수로 해도 처벌되나요?","음모, 예비"
125,미수범의 처벌는 어떤 행위를 하면 성립하나요?,미수범의 처벌
126,미수범의 처벌에 해당하는 구체적인 예시가 있을까요?,미수범의 처벌
127,미수범의 처벌가 성립하지 않는 경우도 있나요?,미수범의 처벌
128,공동정범에 대해 설명해 주세요.,공동정범
129,공동정범가 성립하지 않는 경우도 있나요?,공동정범
130,공동정범는 어떤 행위를 하면 성립하나요?,공동정범
131,교사범에 대한 처벌 수위는 어떻게 되나요?,교사범
132,교사범는 어떤 행위를 하면 성립하나요?,교사범
133,교사범가 적용되는 조건은 무엇인가요?,교사범
134,종범가 성립하지 않는 경우도 있나요?,종범
135,종범에 대해 설명해 주세요.,종범
136,종범는 어떤 행위를 하면 성립하나요?,종범
137,공범과 신분가 성립하지 않는 경우도 있나요?,공범과 신분
138,공범과 신분는 어떤 행위를 하면 성립하나요?,공범과 신분
139,공범과 신분에 대한 처벌 수위는 어떻게 되나요?,공범과 신분
140,"간접정범, 특수한 교사, 방조에 대한 형의 가중에 해당하는 구체적인 예시가 있을까요?","간접정범, 특수한 교사, 방조에 대한 형의 가중"
141,"간접정범, 특수한 교사, 방조에 대한 형의 가중가 적용되는 조건은 무엇인가요?","간접정범, 특수한 교사, 방조에 대한 형의 가중"
142,"간접정범, 특수한 교사, 방조에 대한 형의 가중가 성립하지 않는 경우도 있나요?","간접정범, 특수한 교사, 방조에 대한 형의 가중"
143,누범가 적용되는 조건은 무엇인가요?,누범
144,피해자가 원하지 않아도 누범로 처벌되나요?,누범
145,누범는 어떤 행위를 하면 성립하나요?,누범
146,판결선고후의 누범발각는 실수로 해도 처벌되나요?,판결선고후의 누범발각
147,판결선고후의 누범발각는 어떤 행위를 하면 성립하나요?,판결선고후의 누범발각
148,판결선고후의 누범발각에 대한 처벌 수위는 어떻게 되나요?,판결선고후의 누범발각
149,경합범는 어떤 행위를 하면 성립하나요?,경합범
150,경합범는 실수로 해도 처벌되나요?,경합범
151,경합범가 적용되는 조건은 무엇인가요?,경합범
152,경합범과 처벌례에 해당하는 구체적인 예시가 있을까요?,경합범과 처벌례
153,피해자가 원하지 않아도 경합범과 처벌례로 처벌되나요?,경합범과 처벌례
154,경합범과 처벌례는 어떤 행위를 하면 성립하나요?,경합범과 처벌례
155,"판결을 받지 아니한 경합범, 수개의 판결과 경합범, 형의 집행과 경합범에 해당하는 구체적인 예시가 있을까요?","판결을 받지 아니한 경합범, 수개의 판결과 경합범, 형의 집행과 경합범"
156,"피해자가 원하지 않아도 판결을 받지 아니한 경합범, 수개의 판결과 경합범, 형의 집행과 경합범로 처벌되나요?","판결을 받지 아니한 경합범, 수개의 판결과 경합범, 형의 집행과 경합범"
157,"판결을 받지 아니한 경합범, 수개의 판결과 경합범, 형의 집행과 경합범는 어떤 행위를 하면 성립하나요?","판결을 받지 아니한 경합범, 수개의 판결과 경합범, 형의 집행과 경합범"
158,상상적 경합는 어떤 행위를 하면 성립하나요?,상상적 경합
159,상상적 경합가 적용되는 조건은 무엇인가요?,상상적 경합
160,피해자가 원하지 않아도 상상적 경합로 처벌되나요?,상상적 경합
161,형의 종류는 어떤 행위를 하면 성립하나요?,형의 종류
162,형의 종류에 대해 설명해 주세요.,형의 종류
163,피해자가 원하지 않아도 형의 종류로 처벌되나요?,형의 종류
164,징역 또는 금고의 기간가 성립하지 않는 경우도 있나요?,징역 또는 금고의 기간
165,징역 또는 금고의 기간는 어떤 행위를 하면 성립하나요?,징역 또는 금고의 기간
166,피해자가 원하지 않아도 징역 또는 금고의 기간로 처벌되나요?,징역 또는 금고의 기간
167,"형의 선고와 자격상실, 자격정지에 대해 설명해 주세요.","형의 선고와 자격상실, 자격정지"
168,"형의 선고와 자격상실, 자격정지는 어떤 행위를 하면 성립하나요?","형의 선고와 자격상실, 자격정지"
169,"형의 선고와 자격상실, 자격정지에 해당하는 구체적인 예시가 있을까요?","형의 선고와 자격상실, 자격정지"
170,자격정지가 적용되는 조건은 무엇인가요?,자격정지
171,자격정지에 대한 처벌 수위는 어떻게 되나요?,자격정지
172,자격정지는 실수로 해도 처벌되나요?,자격정지
173,피해자가 원하지 않아도 벌금로 처벌되나요?,벌금
174,벌금에 해당하는 구체적인 예시가 있을까요?,벌금
175,벌금는 실수로 해도 처벌되나요?,벌금
176,구류에 대해 설명해 주세요.,구류
177,구류에 해당하는 구체적인 예시가 있을까요?,구류
178,구류는 어떤 행위를 하면 성립하나요?,구류
179,과료에 대한 처벌 수위는 어떻게 되나요?,과료
180,과료에 대해 설명해 주세요.,과료
181,피해자가 원하지 않아도 과료로 처벌되나요?,과료
182,몰수의 대상과 추징가 성립하지 않는 경우도 있나요?,몰수의 대상과 추징
183,몰수의 대상과 추징에 해당하는 구체적인 예시가 있을까요?,몰수의 대상과 추징
184,몰수의 대상과 추징는 실수로 해도 처벌되나요?,몰수의 대상과 추징
185,몰수의 부가성에 해당하는 구체적인 예시가 있을까요?,몰수의 부가성
186,피해자가 원하지 않아도 몰수의 부가성로 처벌되나요?,몰수의 부가성
187,몰수의 부가성는 어떤 행위를 하면 성립하나요?,몰수의 부가성
188,형의 경중가 적용되는 조건은 무엇인가요?,형의 경중
189,형의 경중가 성립하지 않는 경우도 있나요?,형의 경중
190,형의 경중는 실수로 해도 처벌되나요?,형의 경중
191,양형의 조건는 어떤 행위를 하면 성립하나요?,양형의 조건
192,피해자가 원하지 않아도 양형의 조건로 처벌되나요?,양형의 조건
193,양형의 조건는 실수로 해도 처벌되나요?,양형의 조건
194,"자수, 자복는 실수로 해도 처벌되나요?","자수, 자복"
195,"자수, 자복에 대한 처벌 수위는 어떻게 되나요?","자수, 자복"
196,"자수, 자복가 성립하지 않는 경우도 있나요?","자수, 자복"
197,정상참작감경는 실수로 해도 처벌되나요?,정상참작감경
198,정상참작감경가 적용되는 조건은 무엇인가요?,정상참작감경
199,정상참작감경는 어떤 행위를 하면 성립하나요?,정상참작감경
200,선택형과 정상참작감경는 어떤 행위를 하면 성립하나요?,선택형과 정상참작감경
201,선택형과 정상참작감경가 성립하지 않는 경우도 있나요?,선택형과 정상참작감경
202,피해자가 원하지 않아도 선택형과 정상참작감경로 처벌되나요?,선택형과 정상참작감경
203,법률상의 감경에 대한 처벌 수위는 어떻게 되나요?,법률상의 감경
204,법률상의 감경에 해당하는 구체적인 예시가 있을까요?,법률상의 감경
205,피해자가 원하지 않아도 법률상의 감경로 처벌되나요?,법률상의 감경
206,가중ㆍ감경의 순서는 어떤 행위를 하면 성립하나요?,가중ㆍ감경의 순서
207,가중ㆍ감경의 순서에 대한 처벌 수위는 어떻게 되나요?,가중ㆍ감경의 순서
208,가중ㆍ감경의 순서는 실수로 해도 처벌되나요?,가중ㆍ감경의 순서
209,판결선고전 구금일수의 통산는 어떤 행위를 하면 성립하나요?,판결선고전 구금일수의 통산
210,판결선고전 구금일수의 통산에 해당하는 구체적인 예시가 있을까요?,판결선고전 구금일수의 통산
211,판결선고전 구금일수의 통산는 실수로 해도 처벌되나요?,판결선고전 구금일수의 통산
212,판결의 공시가 성립하지 않는 경우도 있나요?,판결의 공시
213,판결의 공시는 어떤 행위를 하면 성립하나요?,판결의 공시
214,판결의 공시에 해당하는 구체적인 예시가 있을까요?,판결의 공시
215,선고유예의 요건에 대한 처벌 수위는 어떻게 되나요?,선고유예의 요건
216,선고유예의 요건는 어떤 행위를 하면 성립하나요?,선고유예의 요건
217,피해자가 원하지 않아도 선고유예의 요건로 처벌되나요?,선고유예의 요건
218,선고유예의 효과가 성립하지 않는 경우도 있나요?,선고유예의 효과
219,선고유예의 효과에 대한 처벌 수위는 어떻게 되나요?,선고유예의 효과
220,선고유예의 효과는 어떤 행위를 하면 성립하나요?,선고유예의 효과
221,피해자가 원하지 않아도 선고유예의 실효로 처벌되나요?,선고유예의 실효
222,선고유예의 실효에 해당하는 구체적인 예시가 있을까요?,선고유예의 실효
223,선고유예의 실효는 실수로 해도 처벌되나요?,선고유예의 실효
224,피해자가 원하지 않아도 집행유예의 요건로 처벌되나요?,집행유예의 요건
225,집행유예의 요건가 성립하지 않는 경우도 있나요?,집행유예의 요건
226,집행유예의 요건에 대해 설명해 주세요.,집행유예의 요건
227,피해자가 원하지 않아도 집행유예의 실효로 처벌되나요?,집행유예의 실효
228,집행유예의 실효가 성립하지 않는 경우도 있나요?,집행유예의 실효
229,집행유예의 실효에 대한 처벌 수위는 어떻게 되나요?,집행유예의 실효
230,집행유예의 취소에 대한 처벌 수위는 어떻게 되나요?,집행유예의 취소
231,집행유예의 취소는 실수로 해도 처벌되나요?,집행유예의 취소
232,집행유예의 취소에 대해 설명해 주세요.,집행유예의 취소
233,집행유예의 효과에 해당하는 구체적인 예시가 있을까요?,집행유예의 효과
234,집행유예의 효과에 대해 설명해 주세요.,집행유예의 효과
235,집행유예의 효과가 적용되는 조건은 무엇인가요?,집행유예의 효과
236,사형가 적용되는 조건은 무엇인가요?,사형
237,피해자가 원하지 않아도 사형로 처벌되나요?,사형
238,사형에 대해 설명해 주세요.,사형
239,징역에 해당하는 구체적인 예시가 있을까요?,징역
240,징역가 적용되는 조건은 무엇인가요?,징역
241,징역에 대한 처벌 수위는 어떻게 되나요?,징역
242,금고와 구류는 실수로 해도 처벌되나요?,금고와 구류
243,금고와 구류에 대한 처벌 수위는 어떻게 되나요?,금고와 구류
244,피해자가 원하지 않아도 금고와 구류로 처벌되나요?,금고와 구류
245,벌금과 과료에 대해 설명해 주세요.,벌금과 과료
246,벌금과 과료는 어떤 행위를 하면 성립하나요?,벌금과 과료
247,벌금과 과료에 대한 처벌 수위는 어떻게 되나요?,벌금과 과료
248,노역장 유치는 어떤 행위를 하면 성립하나요?,노역장 유치
249,노역장 유치가 적용되는 조건은 무엇인가요?,노역장 유치
250,노역장 유치가 성립하지 않는 경우도 있나요?,노역장 유치
251,유치일수의 공제는 실수로 해도 처벌되나요?,유치일수의 공제
252,유치일수의 공제는 어떤 행위를 하면 성립하나요?,유치일수의 공제
253,유치일수의 공제가 적용되는 조건은 무엇인가요?,유치일수의 공제
254,가석방의 요건는 어떤 행위를 하면 성립하나요?,가석방의 요건
255,가석방의 요건에 대한 처벌 수위는 어떻게 되나요?,가석방의 요건
256,가석방의 요건가 적용되는 조건은 무엇인가요?,가석방의 요건
257,판결선고 전 구금과 가석방에 해당하는 구체적인 예시가 있을까요?,판결선고 전 구금과 가석방
258,판결선고 전 구금과 가석방에 대해 설명해 주세요.,판결선고 전 구금과 가석방
259,판결선고 전 구금과 가석방가 성립하지 않는 경우도 있나요?,판결선고 전 구금과 가석방
260,가석방의 실효에 해당하는 구체적인 예시가 있을까요?,가석방의 실효
261,가석방의 실효에 대한 처벌 수위는 어떻게 되나요?,가석방의 실효
262,가석방의 실효는 어떤 행위를 하면 성립하나요?,가석방의 실효
263,가석방의 취소는 어떤 행위를 하면 성립하나요?,가석방의 취소
264,피해자가 원하지 않아도 가석방의 취소로 처벌되나요?,가석방의 취소
265,가석방의 취소에 해당하는 구체적인 예시가 있을까요?,가석방의 취소
266,가석방의 효과가 적용되는 조건은 무엇인가요?,가석방의 효과
267,가석방의 효과에 해당하는 구체적인 예시가 있을까요?,가석방의 효과
268,가석방의 효과가 성립하지 않는 경우도 있나요?,가석방의 효과
269,피해자가 원하지 않아도 형의 시효의 효과로 처벌되나요?,형의 시효의 효과
270,형의 시효의 효과는 어떤 행위를 하면 성립하나요?,형의 시효의 효과
271,형의 시효의 효과에 해당하는 구체적인 예시가 있을까요?,형의 시효의 효과
272,형의 시효의 기간는 어떤 행위를 하면 성립하나요?,형의 시효의 기간
273,형의 시효의 기간에 대한 처벌 수위는 어떻게 되나요?,형의 시효의 기간
274,형의 시효의 기간에 해당하는 구체적인 예시가 있을까요?,형의 시효의 기간
275,형의 시효의 정지가 적용되는 조건은 무엇인가요?,형의 시효의 정지
276,형의 시효의 정지에 대한 처벌 수위는 어떻게 되나요?,형의 시효의 정지
277,형의 시효의 정지는 어떤 행위를 하면 성립하나요?,형의 시효의 정지
278,형의 시효의 중단가 성립하지 않는 경우도 있나요?,형의 시효의 중단
279,형의 시효의 중단에 대해 설명해 주세요.,형의 시효의 중단
280,형의 시효의 중단가 적용되는 조건은 무엇인가요?,형의 시효의 중단
281,피해자가 원하지 않아도 형의 실효로 처벌되나요?,형의 실효
282,형의 실효가 적용되는 조건은 무엇인가요?,형의 실효
283,형의 실효는 어떤 행위를 하면 성립하나요?,형의 실효
284,복권가 성립하지 않는 경우도 있나요?,복권
285,복권는 실수로 해도 처벌되나요?,복권
286,복권에 대해 설명해 주세요.,복권
287,기간의 계산에 해당하는 구체적인 예시가 있을까요?,기간의 계산
288,기간의 계산에 대해 설명해 주세요.,기간의 계산
289,기간의 계산에 대한 처벌 수위는 어떻게 되나요?,기간의 계산
290,피해자가 원하지 않아도 형기의 기산로 처벌되나요?,형기의 기산
291,형기의 기산는 실수로 해도 처벌되나요?,형기의 기산
292,형기의 기산가 성립하지 않는 경우도 있나요?,형기의 기산
293,형의 집행과 시효기간의 초일에 해당하는 구체적인 예시가 있을까요?,형의 집행과 시효기간의 초일
294,형의 집행과 시효기간의 초일는 어떤 행위를 하면 성립하나요?,형의 집행과 시효기간의 초일
295,형의 집행과 시효기간의 초일에 대한 처벌 수위는 어떻게 되나요?,형의 집행과 시효기간의 초일
296,석방일에 해당하는 구체적인 예시가 있을까요?,석방일
297,석방일에 대해 설명해 주세요.,석방일
298,석방일는 실수로 해도 처벌되나요?,석방일
299,내란는 실수로 해도 처벌되나요?,내란
300,내란는 어떤 행위를 하면 성립하나요?,내란
301,내란에 대해 설명해 주세요.,내란
302,내란목적의 살인는 어떤 행위를 하면 성립하나요?,내란목적의 살인
303,내란목적의 살인에 대해 설명해 주세요.,내란목적의 살인
304,내란목적의 살인가 성립하지 않는 경우도 있나요?,내란목적의 살인
305,미수범는 실수로 해도 처벌되나요?,미수범
308,"예비, 음모, 선동, 선전는 실수로 해도 처벌되나요?","예비, 음모, 선동, 선전"
309,"예비, 음모, 선동, 선전에 대해 설명해 주세요.","예비, 음모, 선동, 선전"
310,"예비, 음모, 선동, 선전가 적용되는 조건은 무엇인가요?","예비, 음모, 선동, 선전"
311,국헌문란의 정의에 해당하는 구체적인 예시가 있을까요?,국헌문란의 정의
312,국헌문란의 정의는 실수로 해도 처벌되나요?,국헌문란의 정의
313,국헌문란의 정의가 성립하지 않는 경우도 있나요?,국헌문란의 정의
314,외환유치가 성립하지 않는 경우도 있나요?,외환유치
315,외환유치는 어떤 행위를 하면 성립하나요?,외환유치
316,외환유치가 적용되는 조건은 무엇인가요?,외환유치
317,여적에 해당하는 구체적인 예시가 있을까요?,여적
318,여적가 적용되는 조건은 무엇인가요?,여적
319,여적에 대해 설명해 주세요.,여적
320,모병이적가 성립하지 않는 경우도 있나요?,모병이적
321,모병이적에 대해 설명해 주세요.,모병이적
322,모병이적에 대한 처벌 수위는 어떻게 되나요?,모병이적
323,시설제공이적는 어떤 행위를 하면 성립하나요?,시설제공이적
324,시설제공이적에 해당하는 구체적인 예시가 있을까요?,시설제공이적
325,시설제공이적가 성립하지 않는 경우도 있나요?,시설제공이적
326,시설파괴이적가 성립하지 않는 경우도 있나요?,시설파괴이적
327,시설파괴이적는 실수로 해도 처벌되나요?,시설파괴이적
328,시설파괴이적에 대한 처벌 수위는 어떻게 되나요?,시설파괴이적
329,물건제공이적가 적용되는 조건은 무엇인가요?,물건제공이적
330,물건제공이적에 대해 설명해 주세요.,물건제공이적
331,물건제공이적는 어떤 행위를 하면 성립하나요?,물건제공이적
332,간첩에 해당하는 구체적인 예시가 있을까요?,간첩
333,간첩가 적용되는 조건은 무엇인가요?,간첩
334,피해자가 원하지 않아도 간첩로 처벌되나요?,간첩
335,일반이적에 대한 처벌 수위는 어떻게 되나요?,일반이적
336,피해자가 원하지 않아도 일반이적로 처벌되나요?,일반이적
337,일반이적에 해당하는 구체적인 예시가 있을까요?,일반이적
339,미수범에 대한 처벌 수위는 어떻게 되나요?,미수범
342,"예비, 음모, 선동, 선전는 어떤 행위를 하면 성립하나요?","예비, 음모, 선동, 선전"
344,피해자가 원하지 않아도 준적국로 처벌되나요?,준적국
345,준적국에 해당하는 구체적인 예시가 있을까요?,준적국
346,준적국에 대한 처벌 수위는 어떻게 되나요?,준적국
347,전시군수계약불이행가 성립하지 않는 경우도 있나요?,전시군수계약불이행
348,전시군수계약불이행가 적용되는 조건은 무엇인가요?,전시군수계약불이행
349,피해자가 원하지 않아도 전시군수계약불이행로 처벌되나요?,전시군수계약불이행
350,동맹국는 어떤 행위를 하면 성립하나요?,동맹국
351,동맹국에 해당하는 구체적인 예시가 있을까요?,동맹국
352,동맹국에 대한 처벌 수위는 어떻게 되나요?,동맹국
353,"국기, 국장의 모독에 대해 설명해 주세요.","국기, 국장의 모독"
354,"피해자가 원하지 않아도 국기, 국장의 모독로 처벌되나요?","국기, 국장의 모독"
355,"국기, 국장의 모독가 성립하지 않는 경우도 있나요?","국기, 국장의 모독"
356,"국기, 국장의 비방가 성립하지 않는 경우도 있나요?","국기, 국장의 비방"
357,"국기, 국장의 비방에 대한 처벌 수위는 어떻게 되나요?","국기, 국장의 비방"
358,"국기, 국장의 비방에 대해 설명해 주세요.","국기, 국장의 비방"
359,외국원수에 대한 폭행 등에 대한 처벌 수위는 어떻게 되나요?,외국원수에 대한 폭행 등
360,피해자가 원하지 않아도 외국원수에 대한 폭행 등로 처벌되나요?,외국원수에 대한 폭행 등
361,외국원수에 대한 폭행 등에 해당하는 구체적인 예시가 있을까요?,외국원수에 대한 폭행 등
362,외국사절에 대한 폭행 등에 대한 처벌 수위는 어떻게 되나요?,외국사절에 대한 폭행 등
363,외국사절에 대한 폭행 등가 적용되는 조건은 무엇인가요?,외국사절에 대한 폭행 등
364,외국사절에 대한 폭행 등에 해당하는 구체적인 예시가 있을까요?,외국사절에 대한 폭행 등
365,"피해자가 원하지 않아도 외국의 국기, 국장의 모독로 처벌되나요?","외국의 국기, 국장의 모독"
366,"외국의 국기, 국장의 모독가 적용되는 조건은 무엇인가요?","외국의 국기, 국장의 모독"
367,"외국의 국기, 국장의 모독에 대한 처벌 수위는 어떻게 되나요?","외국의 국기, 국장의 모독"
368,피해자의 의사가 적용되는 조건은 무엇인가요?,피해자의 의사
369,피해자의 의사는 어떤 행위를 하면 성립하나요?,피해자의 의사
370,피해자의 의사에 해당하는 구체적인 예시가 있을까요?,피해자의 의사
371,외국에 대한 사전는 어떤 행위를 하면 성립하나요?,외국에 대한 사전
372,외국에 대한 사전에 해당하는 구체적인 예시가 있을까요?,외국에 대한 사전
373,외국에 대한 사전에 대해 설명해 주세요.,외국에 대한 사전
374,중립명령위반에 대해 설명해 주세요.,중립명령위반
375,중립명령위반는 어떤 행위를 하면 성립하나요?,중립명령위반
376,중립명령위반가 성립하지 않는 경우도 있나요?,중립명령위반
377,외교상기밀의 누설가 성립하지 않는 경우도 있나요?,외교상기밀의 누설
378,외교상기밀의 누설에 해당하는 구체적인 예시가 있을까요?,외교상기밀의 누설
379,외교상기밀의 누설는 어떤 행위를 하면 성립하나요?,외교상기밀의 누설
